Analysis Name,cost_initial,cost_best,index_best,A best [a.u.],f best [Hz],B best,cost_final,A final [a.u.],f final [Hz],B final,improvement_best [%],improvement_final [%],fidelity_initial,fidelity_best,fidelity_final,fidelity_improvement_best [%],fidelity_improvement_final [%]
D1_cma_post_ft_true,0.007280647711982061,0.003346378506358298,9,-0.16634145957970115,4958219255.326862,0.08802450585068308,0.02664200013022855,0.1295552369081393,4958219254.746085,0.18363957765164307,54.03735163767057,-265.9289830269182,0.9927193522880179,0.9966536214936417,0.9733579998697715,0.39631233102851166,-1.9503349434684056
D1_init_simplex_20241110_211211,0.006333147283795792,0.0046722775090078566,25,0.04069438815120542,4958203776.643953,,0.0051670085801496825,0.040694388027056855,4958203776.645831,,26.225029994762544,18.413257285675833,0.9936668527162043,0.9953277224909921,0.9948329914198503,0.16714553476830188,0.11735711022847897
D1_nelder-mead_post_ft_true,0.009826122530075133,0.002693823852058497,19,0.04063323679887651,4957008566.803499,-1.5325292979629976,0.0029460659729958925,0.04066614387166068,4956988352.862535,-1.539760154314282,72.58507774746934,70.01802120848002,0.9901738774699249,0.9973061761479415,0.9970539340270042,0.7203076995164621,0.6948331715899273
D1_init_simplex_20241113_181711,0.006071981454311656,0.00435529686058184,17,0.041312266908890075,4958168180.074504,,0.004365644120044306,0.04132283866327272,4958168170.213957,,28.2722305172855,28.10182058536585,0.9939280185456884,0.9956447031394181,0.9956343558799557,0.17271719497772103,0.17167614781240395
D1_init_simplex_20241113_200745,0.00584766873238601,0.0044600008614940735,37,0.040577298406499526,4958192116.59817,,0.005119132773128824,0.040577298406499526,4958192116.59817,,23.730274993291722,12.458570972434735,0.994152331267614,0.9955399991385059,0.9948808672268712,0.13958302236463763,0.07328212551975952
D1_SLSQP_post_ft_true,0.021715941432700406,0.004823248006424722,13,0.040579902892831435,4958219256.000173,-0.0011470595812130358,0.005073541026512955,0.04057990339082764,4958219256.000101,-0.001147060685343981,77.78936721959585,76.63678987974663,0.9782840585672996,0.9951767519935752,0.9949264589734871,1.7267677295094686,1.701182827261882
